# Callees check 1 accepts without a mention in the reconstruction.
# One entry per line, 4 TAB-separated fields:
#   function-pattern  callee-pattern  kind  reason
# Patterns are fnmatch globs on demangled names with parameters stripped
# (e.g. `idCustomUI::CreateInstance`, `idClass::operator delete`).
# Kinds:
#   exception-only  reached only from an exception landing pad; no source statement makes the call
#   abi-implicit    emitted by the GCC C++ ABI itself; no source statement makes the call
#   stock-inline    made inside stock ID_INLINE SDK code that the reconstruction calls by its SDK name
#                   (or inside a stock type's implicit destructor); the reason names the stock
#                   function and its file. One entry per function: never a wildcard function pattern
# Always ignored (never listed here): _Unwind_Resume, __cxa_*, __i686.get_pc_thunk.*
*::CreateInstance	*::operator delete	exception-only	CLASS_DECLARATION's `new nameofclass` frees the storage only if the constructor throws (seen in stock idTarget::CreateInstance @ 0x18de90: operator delete sits in the landing pad before _Unwind_Resume)
*::{deleting dtor}	*::operator delete	abi-implicit	D0 "deleting destructor" clone runs the D1 body then frees `this`; the source destructor has no delete statement
idGameLocal::GetLevelStats	idDict::FindKey	stock-inline	spawnArgs.GetBool( key, "0" ): idDict::GetBool -> idDict::GetString( key, default ) -> FindKey, all ID_INLINE in idlib/Dict.h
idGameLocal::GetLevelStats	__strtol_internal	stock-inline	atoi() inside idDict::GetBool (idlib/Dict.h): glibc's inline atoi is strtol( s, NULL, 10 ), which its headers turn into __strtol_internal( s, NULL, 10, 0 )
idTarget_EndLevelGUI::Event_Activate	idDict::FindKey	stock-inline	spawnArgs.GetString( key, default, idStr & ) and GetString( key ) call FindKey; ID_INLINE in idlib/Dict.h
idTarget_EndLevelGUI::Event_Activate	idStr::ReAllocate	stock-inline	out = kv->GetValue() in idDict::GetString( key, default, idStr & ): idStr::operator=( const idStr & ) -> EnsureAlloc, ID_INLINE in idlib/Str.h
idTarget_EndLevelGUI::Event_Activate	memcpy	stock-inline	idStr::operator=( const idStr & ) (ID_INLINE, idlib/Str.h) copies the text with memcpy, reached from idDict::GetString( key, default, idStr & )
idTarget_EndLevelGUI::Event_Activate	idStr::FreeData	stock-inline	~idStr() of the local idStr objects: ID_INLINE in idlib/Str.h, calls FreeData
idTarget_EndLevelGUI::Event_UpdateStats	idDict::FindKey	stock-inline	spawnArgs.GetBool( key, "0" ) and GetString( key, default, idStr & ): ID_INLINE in idlib/Dict.h, both call FindKey
idTarget_EndLevelGUI::Event_UpdateStats	__strtol_internal	stock-inline	atoi() inside idDict::GetBool (idlib/Dict.h): glibc's inline atoi is strtol( s, NULL, 10 ), which its headers turn into __strtol_internal( s, NULL, 10, 0 )
idTarget_EndLevelGUI::Event_UpdateStats	idStr::ReAllocate	stock-inline	idStr::operator=( const idStr & ) in idDict::GetString( key, default, idStr & ) and idStr::operator+=( const idStr & ) -> Append: EnsureAlloc, ID_INLINE in idlib/Str.h
idTarget_EndLevelGUI::Event_UpdateStats	memcpy	stock-inline	idStr::operator=( const idStr & ) (ID_INLINE, idlib/Str.h) copies the text with memcpy, reached from idDict::GetString( key, default, idStr & )
idTarget_EndLevelGUI::Event_UpdateStats	idStr::FreeData	stock-inline	~idStr() of the local nextMap and of idStr::FormatTime's returned temporary: ID_INLINE in idlib/Str.h, calls FreeData
idTarget_EndLevelGUI::HandleCustomGUICommand	idStr::FreeData	stock-inline	~idStr() of idStr::FormatTime's returned temporary: ID_INLINE in idlib/Str.h, calls FreeData
idStr::FormatTime	idStr::ReAllocate	stock-inline	idStr::operator+=( const char * ) / operator+=( char ) -> Append -> EnsureAlloc, ID_INLINE in idlib/Str.h
idStr::FormatTime	strlen	stock-inline	idStr::operator+=( const char * ) -> Append( const char * ) calls strlen; ID_INLINE in idlib/Str.h
